Data,Novos casos,Leitos UTI ocupados,Leitos clínicos ocupados,Ativos,Suspeitos ativos,Novos curados,Novos testes,Novos óbitos
28/08/2020,15.857142857142858,8.142857142857142,17.571428571428573,48.0,27.142857142857142,17.142857142857142,90.71428571428571,0.0
29/08/2020,14.428571428571429,7.857142857142857,18.142857142857142,45.285714285714285,27.0,16.285714285714285,78.85714285714286,0.0
30/08/2020,14.714285714285714,8.0,18.428571428571427,43.0,26.0,16.142857142857142,79.71428571428571,1.0
31/08/2020,15.571428571428571,8.0,19.714285714285715,41.42857142857143,24.857142857142858,16.142857142857142,81.14285714285714,2.0
01/09/2020,15.571428571428571,7.857142857142857,21.142857142857142,41.0,23.142857142857142,15.142857142857142,73.0,0.0
02/09/2020,16.0,8.0,22.285714285714285,42.42857142857143,24.571428571428573,13.285714285714286,75.57142857142857,1.0
03/09/2020,17.0,7.714285714285714,22.857142857142858,42.857142857142854,25.428571428571427,15.857142857142858,80.85714285714286,1.0
04/09/2020,15.714285714285714,8.285714285714286,22.285714285714285,43.142857142857146,25.857142857142858,14.714285714285714,80.71428571428571,0.0
05/09/2020,15.571428571428571,8.428571428571429,21.428571428571427,43.285714285714285,24.714285714285715,14.714285714285714,79.14285714285714,0.0
06/09/2020,14.857142857142858,7.571428571428571,20.428571428571427,42.42857142857143,23.285714285714285,15.0,82.28571428571429,1.0
07/09/2020,11.857142857142858,6.857142857142857,19.285714285714285,41.142857142857146,22.0,12.714285714285714,68.0,0.0
08/09/2020,11.714285714285714,6.857142857142857,18.142857142857142,40.714285714285715,21.285714285714285,11.714285714285714,63.857142857142854,0.0
09/09/2020,10.571428571428571,7.142857142857143,17.285714285714285,38.42857142857143,21.571428571428573,13.0,56.42857142857143,1.0
10/09/2020,12.142857142857142,8.428571428571429,17.857142857142858,39.42857142857143,23.285714285714285,10.857142857142858,50.285714285714285,0.0
11/09/2020,12.428571428571429,9.142857142857142,19.285714285714285,40.285714285714285,25.714285714285715,11.285714285714286,52.142857142857146,0.0
12/09/2020,13.428571428571429,9.857142857142858,20.428571428571427,41.57142857142857,28.714285714285715,11.857142857142858,55.714285714285715,0.0
13/09/2020,13.142857142857142,11.285714285714286,22.428571428571427,43.714285714285715,33.0,10.857142857142858,52.42857142857143,0.0
14/09/2020,15.857142857142858,12.714285714285714,23.571428571428573,46.42857142857143,35.285714285714285,13.0,66.28571428571429,0.0
15/09/2020,17.571428571428573,13.142857142857142,25.142857142857142,48.857142857142854,38.42857142857143,15.0,81.28571428571429,0.0
16/09/2020,20.571428571428573,13.714285714285714,26.571428571428573,53.42857142857143,39.285714285714285,16.0,92.85714285714286,0.0
17/09/2020,19.285714285714285,14.0,26.857142857142858,57.0,39.142857142857146,15.714285714285714,96.57142857142857,0.0
18/09/2020,19.428571428571427,14.571428571428571,26.714285714285715,61.285714285714285,36.285714285714285,15.0,92.57142857142857,1.0
19/09/2020,20.857142857142858,14.714285714285714,26.857142857142858,65.0,34.285714285714285,16.857142857142858,91.85714285714286,1.0
20/09/2020,20.857142857142858,14.857142857142858,26.857142857142858,68.14285714285714,32.57142857142857,17.428571428571427,90.14285714285714,0.0
21/09/2020,22.428571428571427,14.571428571428571,26.571428571428573,72.57142857142857,30.285714285714285,17.714285714285715,86.28571428571429,0.0
22/09/2020,21.571428571428573,14.571428571428571,25.571428571428573,75.85714285714286,26.857142857142858,18.0,81.28571428571429,0.0
23/09/2020,18.428571428571427,14.571428571428571,24.142857142857142,77.14285714285714,25.142857142857142,16.857142857142858,83.14285714285714,0.0
24/09/2020,20.0,14.857142857142858,22.428571428571427,78.71428571428571,24.142857142857142,18.142857142857142,94.57142857142857,0.0
25/09/2020,20.571428571428573,14.142857142857142,21.714285714285715,80.0,25.142857142857142,18.857142857142858,99.57142857142857,2.0
26/09/2020,21.285714285714285,13.714285714285714,21.428571428571427,81.71428571428571,25.571428571428573,19.0,104.71428571428571,2.0
27/09/2020,21.571428571428573,13.428571428571429,20.857142857142858,83.85714285714286,25.0,18.857142857142858,106.71428571428571,0.0
28/09/2020,21.714285714285715,13.428571428571429,21.285714285714285,84.85714285714286,26.0,20.0,105.71428571428571,1.0
29/09/2020,20.857142857142858,13.285714285714286,21.714285714285715,87.0,27.142857142857142,18.0,103.0,0.0
30/09/2020,22.142857142857142,12.857142857142858,22.0,90.14285714285714,26.714285714285715,18.142857142857142,103.0,0.0
01/10/2020,21.428571428571427,12.142857142857142,22.857142857142858,93.85714285714286,25.285714285714285,17.0,93.0,1.0
02/10/2020,19.0,12.857142857142858,22.571428571428573,93.42857142857143,24.0,18.714285714285715,91.14285714285714,1.0
03/10/2020,15.857142857142858,13.0,22.428571428571427,90.57142857142857,22.857142857142858,18.142857142857142,83.71428571428571,1.0
04/10/2020,15.571428571428571,12.857142857142858,22.0,87.42857142857143,23.428571428571427,18.0,81.85714285714286,1.0
05/10/2020,13.142857142857142,13.0,21.0,81.71428571428571,24.857142857142858,18.285714285714285,88.85714285714286,0.0
06/10/2020,15.285714285714286,13.142857142857142,20.285714285714285,77.42857142857143,26.428571428571427,19.0,90.0,0.0
07/10/2020,19.142857142857142,13.285714285714286,19.285714285714285,76.0,28.0,20.142857142857142,84.28571428571429,0.0
08/10/2020,16.857142857142858,13.0,18.571428571428573,71.85714285714286,30.142857142857142,20.285714285714285,83.71428571428571,1.0
09/10/2020,18.0,12.428571428571429,19.0,69.28571428571429,31.428571428571427,20.142857142857142,84.28571428571429,0.0
10/10/2020,19.857142857142858,12.142857142857142,18.714285714285715,69.42857142857143,31.857142857142858,19.428571428571427,90.42857142857143,0.0
11/10/2020,20.0,12.142857142857142,18.857142857142858,69.14285714285714,31.714285714285715,20.142857142857142,90.85714285714286,0.0
12/10/2020,18.0,12.142857142857142,19.571428571428573,69.85714285714286,31.428571428571427,17.142857142857142,74.85714285714286,0.0
13/10/2020,17.714285714285715,12.142857142857142,19.0,68.42857142857143,30.285714285714285,19.0,70.71428571428571,0.0
14/10/2020,14.714285714285714,12.571428571428571,20.0,65.14285714285714,31.285714285714285,17.857142857142858,76.42857142857143,0.0
15/10/2020,14.714285714285714,13.142857142857142,20.0,60.42857142857143,33.0,19.428571428571427,65.57142857142857,0.0
16/10/2020,13.714285714285714,12.857142857142858,19.857142857142858,57.142857142857146,36.142857142857146,23.142857142857142,58.285714285714285,2.0
17/10/2020,15.571428571428571,12.714285714285714,19.0,56.857142857142854,39.142857142857146,15.142857142857142,86.0,2.0
18/10/2020,15.428571428571429,12.428571428571429,18.714285714285715,56.857142857142854,42.42857142857143,14.857142857142858,85.42857142857143,0.0
19/10/2020,18.571428571428573,12.0,18.571428571428573,61.0,48.57142857142857,13.428571428571429,117.14285714285714,0.0
20/10/2020,15.714285714285714,11.857142857142858,18.571428571428573,65.0,52.714285714285715,11.142857142857142,154.0,0.0
21/10/2020,15.285714285714286,11.0,17.857142857142858,67.57142857142857,62.857142857142854,12.142857142857142,152.57142857142858,0.0
22/10/2020,16.428571428571427,10.428571428571429,17.857142857142858,71.42857142857143,74.71428571428571,12.0,163.28571428571428,0.0
23/10/2020,14.714285714285714,10.142857142857142,17.571428571428573,75.57142857142857,85.71428571428571,3.857142857142857,157.28571428571428,0.0
