Data,SP,MogiGuacu,Dia da semana
9/22/2020,0.42,0.41,Terça-feira
9/23/2020,0.42,0.4,Quarta-feira
9/24/2020,0.41,0.4,Quinta-Feira
9/25/2020,0.41,0.39,Sexta-feira
9/26/2020,0.42,0.41,Sábado
9/27/2020,0.47,0.45,Domingo
9/28/2020,0.41,0.41,Segunda-feira
9/29/2020,0.41,0.38,Terça-feira
9/30/2020,0.4,0.38,Quarta-feira
10/01/2020,0.41,0.4,Quinta-Feira
10/02/2020,0.4,0.39,Sexta-feira
10/03/2020,0.41,0.4,Sábado
10/04/2020,0.47,0.45,Domingo
