Data;Município1;UF1;Escala de cor;Number of Records;Índice de isolamento;;
09/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,48;;
10/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
11/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
12/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,42;;
13/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,42;;
14/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,42;;
15/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,45;;
16/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,52;;
17/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
18/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,44;;
19/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
20/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,43;;
21/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,42;;
22/08/2020;ESTADO DE SÃO PAULO;SP;>40-50%;1;0,46;;
